time_period,state,population,cohort,point_estimate
2020-21,New Hampshire,all,All,81.6
2016-17,New Jersey,all,All,68.2
2017-18,New Jersey,all,All,74
2018-19,New Jersey,all,All,89.1
2019-20,New Jersey,all,All,83.3
2020-21,New Jersey,all,All,83.3
2016-17,New Mexico,all,All,87.2
2017-18,New Mexico,all,All,84.2
2018-19,New Mexico,all,All,83.7
2019-20,New Mexico,all,All,83.7
2020-21,New Mexico,all,All,80.9
2016-17,New York,all,All,80.4
2017-18,New York,all,All,79.2
2018-19,New York,all,All,85.8
2019-20,New York,all,All,83.1
2020-21,New York,all,All,79.5
2016-17,North Carolina,all,All,78.4
2017-18,North Carolina,all,All,82.9
2018-19,North Carolina,all,All,81
2019-20,North Carolina,all,All,79.4
2020-21,North Carolina,all,All,78.4
2016-17,North Dakota,all,All,91.3
2017-18,North Dakota,all,All,93.8
2018-19,North Dakota,all,All,91.1
2019-20,North Dakota,all,All,81.8
2020-21,North Dakota,all,All,78.5
2016-17,Ohio,all,All,80.8
2017-18,Ohio,all,All,82.3
2018-19,Ohio,all,All,82.7
2019-20,Ohio,all,All,81.8
2020-21,Ohio,all,All,84.5
2016-17,Oklahoma,all,All,89.9
2017-18,Oklahoma,all,All,83.5
2018-19,Oklahoma,all,All,81.5
2019-20,Oklahoma,all,All,88.9
2020-21,Oklahoma,all,All,84
2016-17,Oregon,all,All,89.9
2017-18,Oregon,all,All,82.8
2018-19,Oregon,all,All,80.1
2019-20,Oregon,all,All,84.4
2020-21,Oregon,all,All,81.1
2016-17,Pennsylvania,all,All,90.8
2017-18,Pennsylvania,all,All,88.1
2018-19,Pennsylvania,all,All,85.1
2019-20,Pennsylvania,all,All,87.6
2020-21,Pennsylvania,all,All,85.5
2016-17,Rhode Island,all,All,89.7
2017-18,Rhode Island,all,All,90.7
2018-19,Rhode Island,all,All,81.6
2019-20,Rhode Island,all,All,78.9
2020-21,Rhode Island,all,All,81.4
2016-17,South Carolina,all,All,68.3
2017-18,South Carolina,all,All,61.2
2018-19,South Carolina,all,All,76.3
2019-20,South Carolina,all,All,86.7
2020-21,South Carolina,all,All,87.3
2016-17,South Dakota,all,All,87.6
2017-18,South Dakota,all,All,92
2018-19,South Dakota,all,All,89.6
2019-20,South Dakota,all,All,87.5
2020-21,South Dakota,all,All,81.3
2016-17,Tennessee,all,All,77.4
2017-18,Tennessee,all,All,75
2018-19,Tennessee,all,All,79.6
2019-20,Tennessee,all,All,84.3
2020-21,Tennessee,all,All,81.2
2016-17,Texas,all,All,68.3
2017-18,Texas,all,All,73.7
2018-19,Texas,all,All,81.2
2019-20,Texas,all,All,75.5
2020-21,Texas,all,All,77.1
2016-17,Utah,all,All,71.5
2017-18,Utah,all,All,73.6
2018-19,Utah,all,All,80.4
2019-20,Utah,all,All,71.1
2020-21,Utah,all,All,74.3
2016-17,Vermont,all,All,87.5
2017-18,Vermont,all,All,90.6
2018-19,Vermont,all,All,87.5
2019-20,Vermont,all,All,83.8
2020-21,Vermont,all,All,85.3
2016-17,Virginia,all,All,76.3
2017-18,Virginia,all,All,73.8
2018-19,Virginia,all,All,85.2
2019-20,Virginia,all,All,79.6
2020-21,Virginia,all,All,76.5
2016-17,Washington,all,All,78.2
2017-18,Washington,all,All,81
2018-19,Washington,all,All,83.6
2019-20,Washington,all,All,86.6
2020-21,Washington,all,All,86.8
2016-17,West Virginia,all,All,82.8
2017-18,West Virginia,all,All,83.4
2018-19,West Virginia,all,All,82.8
2019-20,West Virginia,all,All,86.1
2020-21,West Virginia,all,All,81.7
2016-17,Wisconsin,all,All,82.7
2017-18,Wisconsin,all,All,76.8
2018-19,Wisconsin,all,All,85.3
2019-20,Wisconsin,all,All,84.8
2020-21,Wisconsin,all,All,80.3
2016-17,Wyoming,all,All,84.2
2017-18,Wyoming,all,All,81.2
2018-19,Wyoming,all,All,87
2019-20,Wyoming,all,All,87.7
2020-21,Wyoming,all,All,88.7
