"Adults age 18 and older with any mental illness who did not receive treatment
",,,,
Adults with any mental illness who did not receive treatment,,,,
time_period,state,population,cohort,point_estimate
2013-15,Maryland,all,All,60
2014-16,Maryland,all,All,56
2016-17,Maryland,all,All,56
2017-18,Maryland,all,All,59
2018-19,Maryland,all,All,58
2019-20,Maryland,all,All,55
2009-11,Massachusetts,all,All,49
2012-14,Massachusetts,all,All,46
2013-15,Massachusetts,all,All,46
2014-16,Massachusetts,all,All,49
2016-17,Massachusetts,all,All,52
2017-18,Massachusetts,all,All,50
2018-19,Massachusetts,all,All,45
2019-20,Massachusetts,all,All,43
2009-11,Michigan,all,All,60
2012-14,Michigan,all,All,53
2013-15,Michigan,all,All,54
2014-16,Michigan,all,All,53
2016-17,Michigan,all,All,51
2017-18,Michigan,all,All,54
2018-19,Michigan,all,All,55
2019-20,Michigan,all,All,49
2009-11,Minnesota,all,All,57
2012-14,Minnesota,all,All,46
2013-15,Minnesota,all,All,44
2014-16,Minnesota,all,All,43
2016-17,Minnesota,all,All,50
2017-18,Minnesota,all,All,53
2018-19,Minnesota,all,All,46
2019-20,Minnesota,all,All,50
2009-11,Mississippi,all,All,67
2012-14,Mississippi,all,All,61
2013-15,Mississippi,all,All,58
2014-16,Mississippi,all,All,57
2016-17,Mississippi,all,All,55
2017-18,Mississippi,all,All,58
2018-19,Mississippi,all,All,59
2019-20,Mississippi,all,All,56
2009-11,Missouri,all,All,56
2012-14,Missouri,all,All,51
2013-15,Missouri,all,All,52
2014-16,Missouri,all,All,52
2016-17,Missouri,all,All,51
2017-18,Missouri,all,All,55
2018-19,Missouri,all,All,53
2019-20,Missouri,all,All,50
2009-11,Montana,all,All,51
2012-14,Montana,all,All,54
2013-15,Montana,all,All,48
2014-16,Montana,all,All,54
2016-17,Montana,all,All,58
2017-18,Montana,all,All,54
2018-19,Montana,all,All,51
2019-20,Montana,all,All,41
2009-11,Nebraska,all,All,53
2012-14,Nebraska,all,All,56
2013-15,Nebraska,all,All,58
2014-16,Nebraska,all,All,56
2016-17,Nebraska,all,All,53
2017-18,Nebraska,all,All,53
2018-19,Nebraska,all,All,49
2019-20,Nebraska,all,All,42
2009-11,Nevada,all,All,68
2012-14,Nevada,all,All,68
2013-15,Nevada,all,All,66
2014-16,Nevada,all,All,63
2016-17,Nevada,all,All,64
2017-18,Nevada,all,All,60
2018-19,Nevada,all,All,58
2019-20,Nevada,all,All,61
2009-11,New Hampshire,all,All,57
2012-14,New Hampshire,all,All,49
2013-15,New Hampshire,all,All,49
2014-16,New Hampshire,all,All,46
2016-17,New Hampshire,all,All,45
2017-18,New Hampshire,all,All,52
2018-19,New Hampshire,all,All,52
2019-20,New Hampshire,all,All,49
2009-11,New Jersey,all,All,68
2012-14,New Jersey,all,All,56
2013-15,New Jersey,all,All,58
2014-16,New Jersey,all,All,57
2016-17,New Jersey,all,All,60
2017-18,New Jersey,all,All,60
2018-19,New Jersey,all,All,57
2019-20,New Jersey,all,All,56
2009-11,New Mexico,all,All,55
2012-14,New Mexico,all,All,57
