time_period,state,population,cohort,point_estimate
2017-18,Maryland,all,All,25
2018-19,Maryland,all,All,30
2019-20,Maryland,all,All,33
2009-11,Massachusetts,all,All,21
2012-14,Massachusetts,all,All,19
2013-15,Massachusetts,all,All,16
2014-16,Massachusetts,all,All,19
2016-17,Massachusetts,all,All,22
2017-18,Massachusetts,all,All,22
2018-19,Massachusetts,all,All,22
2019-20,Massachusetts,all,All,31
2009-11,Michigan,all,All,23
2012-14,Michigan,all,All,21
2013-15,Michigan,all,All,20
2014-16,Michigan,all,All,20
2016-17,Michigan,all,All,22
2017-18,Michigan,all,All,24
2018-19,Michigan,all,All,27
2019-20,Michigan,all,All,26
2009-11,Minnesota,all,All,25
2012-14,Minnesota,all,All,24
2013-15,Minnesota,all,All,24
2014-16,Minnesota,all,All,22
2016-17,Minnesota,all,All,19
2017-18,Minnesota,all,All,21
2018-19,Minnesota,all,All,22
2019-20,Minnesota,all,All,27
2009-11,Mississippi,all,All,21
2012-14,Mississippi,all,All,22
2013-15,Mississippi,all,All,23
2014-16,Mississippi,all,All,23
2016-17,Mississippi,all,All,22
2017-18,Mississippi,all,All,24
2018-19,Mississippi,all,All,25
2019-20,Mississippi,all,All,25
2009-11,Missouri,all,All,27
2012-14,Missouri,all,All,26
2013-15,Missouri,all,All,25
2014-16,Missouri,all,All,24
2016-17,Missouri,all,All,25
2017-18,Missouri,all,All,26
2018-19,Missouri,all,All,30
2019-20,Missouri,all,All,30
2009-11,Montana,all,All,24
2012-14,Montana,all,All,17
2013-15,Montana,all,All,18
2014-16,Montana,all,All,21
2016-17,Montana,all,All,23
2017-18,Montana,all,All,25
2018-19,Montana,all,All,22
2019-20,Montana,all,All,25
2009-11,Nebraska,all,All,16
2012-14,Nebraska,all,All,23
2013-15,Nebraska,all,All,19
2014-16,Nebraska,all,All,17
2016-17,Nebraska,all,All,23
2017-18,Nebraska,all,All,26
2018-19,Nebraska,all,All,28
2019-20,Nebraska,all,All,23
2009-11,Nevada,all,All,22
2012-14,Nevada,all,All,23
2013-15,Nevada,all,All,22
2014-16,Nevada,all,All,26
2016-17,Nevada,all,All,29
2017-18,Nevada,all,All,26
2018-19,Nevada,all,All,29
2019-20,Nevada,all,All,38
2009-11,New Hampshire,all,All,24
2012-14,New Hampshire,all,All,21
2013-15,New Hampshire,all,All,24
2014-16,New Hampshire,all,All,25
2016-17,New Hampshire,all,All,29
2017-18,New Hampshire,all,All,25
2018-19,New Hampshire,all,All,22
2019-20,New Hampshire,all,All,27
